date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:24	24891/24891	---MCZ	200	added ('OK')	image/png	etag:W/%22604adac4-613b%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/memudahkan-1-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/memudahkan-1-1.png	(from https://www.attaqwa.co.id/)
13:25:25	347/347	---MCZ	200	added ('OK')	image/png	etag:W/%226066c8c2-15b%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/divider-2-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/divider-2-1.png	(from https://www.attaqwa.co.id/)
13:25:25	161231/161231	---MCZ	200	added ('OK')	image/png	etag:W/%22604adac4-275cf%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/kisspng-bestseller-logo-sales-the-new-york-times-best-sell-5afb0f4dbb8980.2706276815264028937682-1-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/kisspng-bestseller-logo-sales-the-new-york-times-best-sell-5afb0f4dbb8980.2706276815264028937682-1-1.png	(from https://www.attaqwa.co.id/)
13:25:25	83500/83500	---MCZ	200	added ('OK')	image/png	etag:W/%2260826e51-1462c%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-5.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-5.png	(from https://www.attaqwa.co.id/)
13:25:25	496/496	---MCZ	200	added ('OK')	image/png	etag:W/%2260822e8b-1f0%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/divider.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/divider.png	(from https://www.attaqwa.co.id/)
13:25:26	85204/85204	---MCZ	200	added ('OK')	image/png	etag:W/%22608272b2-14cd4%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-6.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-6.png	(from https://www.attaqwa.co.id/)
13:25:26	38560/38560	---MCZ	200	added ('OK')	image/webp	etag:W/%2261e236e7-96a0%22	https://www.attaqwa.co.id/wp-content/uploads/2022/01/ezgif.com-gif-maker-88.webp	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2022/01/ezgif.com-gif-maker-88.webp	(from https://www.attaqwa.co.id/)
13:25:26	75897/75897	---MCZ	200	added ('OK')	image/png	etag:W/%22608273ae-12879%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-10.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-10.png	(from https://www.attaqwa.co.id/)
13:25:28	70359/70359	---MCZ	200	added ('OK')	image/png	etag:W/%22608272b3-112d7%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-8.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-8.png	(from https://www.attaqwa.co.id/)
13:25:29	70330/70330	---MCZ	200	added ('OK')	image/png	etag:W/%22608272b3-112ba%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-9.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-9.png	(from https://www.attaqwa.co.id/)
